colony_id	name	canonical_name	wikidata_id	modern_nation_qids	established_year	end_date	region	colony_type	capital	successor_dominion	qid_scope_note
fernando_po_british_1827_1843	Fernando Po (British)	Fernando Po (British)	Q205022	Q983	1827	1843-01-01	Africa (Islands)	Possession			
fiji_1874_1970	Fiji	Fiji	Q5148320	Q712	1874	1970-01-01	Pacific	Crown Colony			
flint_island_1866_1979	Flint Island	Flint Island	Q741650	Q710	1866	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
fort_william_calcutta_1696_1857	Fort William (Calcutta)	Fort William (Calcutta)	Q2750027	Q668	1696	1857-05-10	South Asia	Trading Post			
gadvi_state	Gadvi State		Q21075179				South Asia	Princely State		india	
gadwal_samsthanam	Gadwal Samsthanam		Q11923490				South Asia	Princely State		india	
gambia_colony_1816_1888	Gambia Colony	Gambia Colony	Q3557236	Q1005	1816	1888-01-01	West Africa	Crown Colony			[QID_REUSED_TOO_BROAD] Q3557236 covers full Gambia Colony and Protectorate 1821-1965 (both pre-1888 colony-only phase AND 1888-1965 colony-plus-protectorate phase); same QID assigned to gambia_colony_and_protectorate_1816_1965 (row 240); WD has only one entity for both phases - same pattern as Bengal/Bombay/Burma/Gold Coast/Cape
gambia_colony_and_protectorate_1816_1965	Gambia Colony and Protectorate	Gambia Colony and Protectorate	Q3557236	Q1005	1888	1965-01-01	West Africa	Crown Colony			[QID_REUSED] Q3557236 also assigned to gambia_colony_1816_1888 (row 239); this row's 1888-1965 colony-plus-protectorate period is closer match to WD inception-dissolution but QID still spans both phases
gangpur_state_1821_1948	Gangpur State		Q16838406				South Asia	Princely State		india	
garh_state	Garh State		Q11923790				South Asia	Princely State		india	
garhwal_kingdom_1358_1949	Garhwal Kingdom		Q1381495				South Asia	Princely State		india	
gaurihar_state_1807_1950	Gaurihar State		Q11923882				South Asia	Princely State		india	
georgia_colony_1732_1783	Georgia Colony	Georgia Colony	Q785035	Q30	1732	1783-09-03	North America	Royal Colony			
german_east_africa_british_occupied_1916_1922	German East Africa (British Occupied)	German East Africa (British Occupied)	Q158725	Q924	1916	1922-01-01	East Africa	Military Administration			Q158725 Tanganyika Territory inception 1922; file row covers the pre-mandate British military occupation 1916-1922 of the same territory.
gharra_state	Gharra State		Q11924173				South Asia	Princely State		india	
ghodasar	Ghodasar		Q11924185				South Asia	Princely State		india	
gibraltar_1704_ongoing	Gibraltar	Gibraltar	Q1410	Q1410	1704		Europe	British Overseas Territory			
gilbert_and_ellice_islands_1916_1976	Gilbert and Ellice Islands	Gilbert and Ellice Islands	Q1050859	Q710	1916	1976-01-01	Pacific	Crown Colony			
gilbert_islands_1976_1979	Gilbert Islands	Gilbert Islands	Q271876	Q710	1976	1979-07-12	Pacific	Crown Colony			Q271876 is the geographic Gilbert Islands chain; file row covers the brief 1976-1979 separate-colony sub-period before Kiribati independence (no separate WD colony entity).
gold_coast_colony_1874_1957	Gold Coast Colony	Gold Coast Colony	Q503623	Q117	1874	1957-03-06	West Africa	Crown Colony			
gond_umri	Gond-Umri		Q11924463				South Asia	Princely State		india	
gondal_state_1634_1949	Gondal State		Q16839606				South Asia	Princely State	Gondal	india	
grenada_colony_1763_1974	Grenada Colony	Grenada Colony	Q3116419	Q769	1763	1974-02-07	Caribbean	Crown Colony			Q3116419 is the geographic island; no separate Colony of Grenada entity in WD; file row covers British colonial period 1763-1974.
griqualand_west_1871_1880	Griqualand West	Griqualand West	Q2547918	Q258	1871	1880-01-15	Southern Africa	Crown Colony			
guler_state_1415_1813	Guler State		Q17311418				South Asia	Princely State		india	
gwalior_state_1761_1948	Gwalior State		Q1557792				South Asia	Princely State	Ujjain	india	
hapa_state	Hapa State		Q11925218				South Asia	Princely State		india	
hasht_bhaiya_1690_1948	Hasht-Bhaiya		Q17297442				South Asia	Princely State		india	
heard_and_mcdonald_islands_1833_1947	Heard and McDonald Islands	Heard and McDonald Islands	Q131198	Q408	1833	1947-12-26	Antarctica	Remote Island			Q131198 transferred from UK to Australia 1953; file row covers the British colonial period 1833-1947.
heligoland_1807_1890		Heligoland	Q3129772		1807		Europe	Crown Colony			Q3129772 is the geographic German island; British colonial period 1807-1890 not separately represented in WD.
henderson_island_1902_ongoing	Henderson Island	Henderson Island	Q379759	Q35672	1902		Pacific	Crown Colony			Q379759 is the geographic atoll; file row tracks British administrative period (annexed via Pitcairn Islands 1902).
hindol_state_1554_1948	Hindol State		Q11925661				South Asia	Princely State		india	
hong_kong_1841_1997	Hong Kong	Hong Kong	Q1054923	Q8646	1841	1997-01-01	Southeast Asia	Crown Colony			
howland_island_1857_1898	Howland Island	Howland Island	Q131305	Q30	1857	1898-07-07	Pacific (Guano/Whaling)	Guano Island			
hunza_state_1600_1974	Hunza State		Q14957246				South Asia	Princely State	Karimabad	pakistan	
hyderabad_state_1724_1948	Hyderabad State		Q1240096				South Asia	Princely State		india	
icha	Icha		Q11926391				South Asia	Princely State		india	
idar_state_1257_1948	Idar State		Q649310				South Asia	Princely State		india	
ile_royale_1713_1763	Île Royale (French)	Île Royale	Q3593199	Q16	1713	1763-02-10	North America	Colonial Territory			
imperial_british_east_africa_company_territory_1888_1895	Imperial British East Africa Company Territory	Imperial British East Africa Company Territory	Q926921	Q114	1888	1895-07-01	East Africa	Company Territory			
indian_empire_british_raj_1858_1947	Indian Empire (British Raj)	Indian Empire (British Raj)	Q129286	Q668;Q843;Q902	1858	1947-01-01	South Asia	Colony/Empire			
indore_state_1732_1948	Indore State		Q716890				South Asia	Princely State	Indore	india	
ionian_islands_1815_1864	Ionian Islands	Ionian Islands	Q1063498	Q41	1815	1864-05-29	Europe	Protectorate			
iraq_1932_ongoing	Iraq	Iraq	Q796	Q796	1932		Middle East	Independence			Q796 modern Iraq covers monarchy (1932-1958) + republic (1958-onwards) as one continuous entity.
ireland_uk_1801_1922		Ireland (UK)	Q174193		1801		Europe	Union			
irish_free_state_1922_1937		Irish Free State	Q31747		1922		Europe	Dominion			
isle_de_france_british_occupation_1810_1814	Isle de France (British Occupation)	Isle de France (British Occupation)	Q12053604	Q1027	1810	1814-05-30	Africa (Islands)	Military Administration			[QID_REUSED_TOO_BROAD] Q12053604 covers full British Mauritius 1810-1968 (including both 1810-1814 military occupation under name 'Isle de France' AND 1814-1968 formal Crown Colony 'Mauritius'); same QID assigned to mauritius_1814_1968 (row 417); WD has only one entity for both phases - same pattern as Bengal/Bombay/Burma/Gold Coast/Cape/Gambia
itwad_state	Itwad State		Q11926997				South Asia	Princely State		india	
jafarabad_state_1650_1948	Jafarabad State		Q16849282				South Asia	Princely State		india	
jaipur_state_1727_1949	Jaipur State		Q6124144				South Asia	Princely State		india	
jaisalmer_state_1156_1947	Jaisalmer State		Q1678784				South Asia	Princely State	Jaisalmer	india	
jaitpur_state_1731_1849	Jaitpur State		Q1678787				South Asia	Princely State		india	
jalaun_state_1806_1840	Jalaun State		Q18126183				South Asia	Princely State		india	
jamaica_1655_1962	Jamaica	Jamaica	Q2526023	Q766	1655	1962-01-01	Caribbean	Crown Colony			
jambughoda_state_1400_1948	Jambughoda State		Q11927151				South Asia	Princely State		india	
james_island_trading_post_1661_1816	James Island Trading Post	James Island Trading Post	Q23498700	Q1005	1661	1816-01-01	West Africa	Trading Post			Q23498700 is the fort/building entity (Fort James Island); file row covers the British trading post period 1661-1816 on the island now called Kunta Kinteh Island.
jamkhandi_state_1811_1948	Jamkhandi State		Q1681450				South Asia	Princely State		india	
jammu_and_kashmir_1846_1947	Jammu and Kashmir		Q2571484				South Asia	Princely State	Srinagar	india	
jandol_state_1830_1948	Jandol State		Q28172756				South Asia	Princely State	Samar Bagh	pakistan	
janjira_state_1489_1948	Janjira State		Q18126222				South Asia	Princely State	Murud-Janjira	india	
jaoli_state_1700_1700	Jaoli State		Q6156427				South Asia	Princely State		india	
jaora_state_1817_1948	Jaora State		Q1683106				South Asia	Princely State	Jaora	india	
jarvis_island_1857_1898	Jarvis Island	Jarvis Island	Q62218	Q30	1857	1898-07-07	Pacific (Guano/Whaling)	Guano Island			
jasdan_state_1665_1948	Jasdan State		Q1683756				South Asia	Princely State		india	
jashpur_state_1800_1948	Jashpur State		Q1683780				South Asia	Princely State		india	
jaso_state_1732_1948	Jaso State		Q11927206				South Asia	Princely State		india	
jasrota_1020_1820	Jasrota		Q104151575				South Asia	Princely State	Jasrota	india	
jaswan_1170_1849	Jaswan		Q6164350				South Asia	Princely State		india	
jath_state_1642_1948	Jath State		Q933413				South Asia	Princely State		india	
jawhar_state_1343_1947	Jawhar State		Q11927430				South Asia	Princely State	Jawhar	india	
jesar_state	Jesar State		Q65063637				South Asia	Princely State	Jesar	india	
jhabua_state_1584_1948	Jhabua State		Q1688822				South Asia	Princely State		india	
jhalawan_state_1955	Jhalawan State		Q6190797				South Asia	Princely State		pakistan	
jhalawar_state_1838_1949	Jhalawar State		Q1261339				South Asia	Princely State	Jhalawar	india	
jhansi_state_1804_1853	Jhansi State		Q11927544				South Asia	Princely State		india	
jhari_gharkhadi_state	Jhari Gharkhadi State		Q11927468				South Asia	Princely State		india	
jigni_state_1730_1950	Jigni State		Q11927549				South Asia	Princely State		india	
jind_state_1763_1948	Jind State		Q1252744				South Asia	Princely State	Sangrur	india	
jiral_1870	Jiral		Q11927559				South Asia	Princely State		india	
jobat_state_1500_1948	Jobat State		Q6206774				South Asia	Princely State		india	
jodhpur_state_1226_1949	Jodhpur State		Q6207845				South Asia	Princely State		india	
jubbal_state_1815_1948	Jubbal State		Q3187887				South Asia	Princely State		india	
junagadh_state_1748_1948	Junagadh State		Q14491604				South Asia	Princely State	Junagadh	india	
kahlur_state_697_1948	Kahlur State		Q860407				South Asia	Princely State	Bilaspur, Himachal Pradesh	india	
kalahandi_state_1005_1948	Kalahandi State		Q1535236				South Asia	Princely State	Bhawanipatna	india	
kalakankar	Kalakankar		Q17607099				South Asia	Princely State		india	
kalsia_state_1760_1948	Kalsia State		Q932359				South Asia	Princely State		india	
kamta_rajaula_1812_1948	Kamta-Rajaula		Q11929623				South Asia	Princely State		india	
kangra_lambagraon_1400_1948	Kangra-Lambagraon		Q3192661				South Asia	Princely State		india	
kanjarda	Kanjarda		Q11929630				South Asia	Princely State		india	
kanker_state_200_1947	Kanker State		Q12816977				South Asia	Princely State		india	
kapshi_estate_1750_1956	Kapshi Estate		Q11929645				South Asia	Princely State		india	
kapurthala_state_1772_1947	Kapurthala State		Q1728782				South Asia	Princely State	Kapurthala	india	
karauli_state_1348_1948	Karauli State		Q6368814				South Asia	Princely State	Karauli	india	
kari_state	Kari State		Q21099425				South Asia	Princely State		india	
kawardha_state_1751_1948	Kawardha State		Q18126687				South Asia	Princely State		india	
kenya_colony_and_protectorate_of_1920_1963	Kenya, Colony & Protectorate of	Kenya, Colony & Protectorate of	Q2538511	Q114	1920	1963-01-01	East Africa	Crown Colony			
keonjhar_state_1200_1948	Keonjhar State		Q19792051				South Asia	Princely State		india	
keonthal_state_1800_1948	Keonthal State		Q3195357				South Asia	Princely State		india	
kesaria	Kesaria		Q17607189				South Asia	Princely State		india	
khairagarh_state_1833_1948	Khairagarh State		Q11929746				South Asia	Princely State		india	
khairpur_state_1775_1955	Khairpur State		Q3249587				South Asia	Princely State	Khairpur	pakistan	
khanate_of_kalat_1638_1955	Khanate of Kalat		Q139948				South Asia	Princely State	Kalat	pakistan	
khandpara_state_1599_1948	Khandpara State		Q11929762				South Asia	Princely State		india	
khaniadhana_state_1724_1948	Khaniadhana State		Q16852121				South Asia	Princely State		india	
khaniyadhana	Khaniyadhana		Q2120351				South Asia	Princely State		india	
kharagpur_state	Kharagpur State		Q11929766				South Asia	Princely State		india	
kharan_state_1697_1955	Kharan State		Q2989491				South Asia	Princely State	Kharan	pakistan	
kharsawan_state_1650_1948	Kharsawan State		Q18126780				South Asia	Princely State		india	
khilchipur_state_1544_1948	Khilchipur State		Q6401617				South Asia	Princely State		india	
kingdom_of_cochin_1500_1949	Kingdom of Cochin		Q150056				South Asia	Princely State	Thrippunithura	india	
kingdom_of_coorg_1834	Kingdom of Coorg		Q19892830				South Asia	Princely State		india	
kingdom_of_ireland_1541_1801		Kingdom of Ireland	Q215530		1541		Europe	Kingdom			Q215530 inception 1542 per WD (file 1541); 1-year variance reflects Crown of Ireland Act 1542.
kingdom_of_mysore_1399_1950	Kingdom of Mysore		Q266923				South Asia	Princely State	Mysore	india	
kingdom_of_sikkim_1642_1975	Kingdom of Sikkim		Q3960459				South Asia	Princely State		india	
kingdom_of_thiruvithamkoor_1729_1949	Travancore	Travancore	Q150058				South Asia	Princely State	Thiruvananthapuram	india	
kinhi	Kinhi		Q17607217				South Asia	Princely State		india	
kirli_state	Kirli State		Q21075184				South Asia	Princely State		india	
kirnapur	Kirnapur		Q11929872				South Asia	Princely State		india	
kishangarh_state_1611_1947	Kishangarh State		Q6416549				South Asia	Princely State	Kishangarh	india	
koela_state	Koela State		Q11929890				South Asia	Princely State		india	
kolhapur_state_1707_1949	Kolhapur State		Q657946				South Asia	Princely State	Kolhapur	india	
koriya_1600_1948	Koriya		Q1784316				South Asia	Princely State		india	
kota_state_1613_1949	Kota State		Q1785349				South Asia	Princely State	Kota	india	
kotharia_state_rajasthan_1527_2000	Kotharia State, Rajasthan		Q104152099				South Asia	Princely State		india	
kotharia_state_rajkot_1733_2000	Kotharia State, Rajkot		Q104152100				South Asia	Princely State		india	
kothi_state_1800_1950	Kothi State		Q23136942				South Asia	Princely State		india	
kotra_pitha	Kotra Pitha		Q11929937				South Asia	Princely State		india	
kulpahar_state_1700_1858	Kulpahar State		Q104152101				South Asia	Princely State		india	
kumharsain_state_1500_1947	Kumharsain State		Q104152102				South Asia	Princely State		india	
kurundvad_junior_1733_1948	Kurundvad Junior		Q18127026				South Asia	Princely State		india	
kurundvad_senior_1733_1948	Kurundvad Senior		Q18127028				South Asia	Princely State		india	
kurwai_state_1707_1948	Kurwai State		Q6447564				South Asia	Princely State		india	
kuthar_1700_1900	Kuthar		Q3200690				South Asia	Princely State		india	
kutlehar_state_1803_1825	Kutlehar State		Q6448442				South Asia	Princely State		india	
kuwait_1899_1961	Kuwait	Kuwait	Q3480281	Q817	1899	1961-01-01	Middle East	Protectorate			
labuan_1846_1963	Labuan	Labuan	Q6420545	Q833	1846	1963-09-16	Southeast Asia	Crown Colony			
lagos_protectorate_1887_1906	Lagos Protectorate	Lagos Colony	Q472146	Q1033	1862	1906-01-01	West Africa	Protectorate			
laira_state	Laira State		Q11931111				South Asia	Princely State		india	
lakhtar_state_1604_1947	Lakhtar State		Q11931118				South Asia	Princely State		india	
las_bela_state_1742_1955	Las Bela State		Q1806438				South Asia	Princely State	Bela	pakistan	
lathi_state_1340_1948	Lathi State		Q104152103				South Asia	Princely State		india	
lawa_thikana_1772_1947	Lawa Thikana		Q6503547				South Asia	Princely State		india	
leeward_islands_colony_1671_1816	Leeward Islands Colony (1671-1816)	Leeward Islands Colony	Q1796551	Q781;Q763;Q13353;Q25305	1671	1816-01-01	Caribbean	Federal Colony			[QID_REUSED_TOO_BROAD] Q1796551 covers full British Leeward Islands history (1671-1816 first colony AND 1833-1960 federal colony reunited); same QID assigned to federal_colony_leeward_islands_1833-1960 (row 229); WD description explicitly notes both periods - file split into two rows but only one WD entity exists
limbda_1780_1948	Limbda		Q21075471				South Asia	Princely State		india	
limbdi_state_1500_1947	Limbdi State		Q3241025				South Asia	Princely State	Limbdi	india	
line_islands_british_1888_1979	Line Islands (British)	Line Islands (British)	Q234796	Q710	1888	1979-07-12	Pacific	Crown Colony			
lohara_sahaspur	Lohara Sahaspur		Q21075186				South Asia	Princely State		india	
loharu_state_1806_1947	Loharu State		Q3258086				South Asia	Princely State	Loharu	india	
lower_burma_1824_1886	British Territories in Burma	Lower Burma	Q1937196	Q836	1824	1886-01-01	South Asia	Crown Colony			
lower_canada_1791_1841	Lower Canada	Lower Canada	Q1134180	Q16	1791	1841-01-01	North America	Crown Colony			
lunavada	Lunavada		Q2240915				South Asia	Princely State		india	
lunavada_state_1434_1948	Lunavada State		Q18127558				South Asia	Princely State		india	
madanpur_state	Madanpur State		Q11934520				South Asia	Princely State		india	
madras_presidency_company_1640_1858	Madras Presidency (Company)	Madras Presidency (Company)	Q1772596	Q668	1640	1858-11-01	South Asia	Presidency			[QID_REUSED_TOO_BROAD] Q1772596 covers full Madras Presidency 1652-1950 (both Company rule 1640-1858 AND Crown rule 1858-1947); same QID assigned to madras_presidency_crown_1858_1947 (row 388); WD has only one entity for both phases - same pattern as Bengal/Bombay Presidency
madras_presidency_crown_1858_1947	Madras Presidency (Crown)	Madras Presidency (Crown)	Q1772596	Q668	1858	1947-08-15	South Asia	Presidency			[QID_REUSED] Q1772596 also assigned to madras_presidency_company_1640_1858 (row 387); this row's 1858-1947 Crown period and earlier Company period both map to single WD entity
mahlog_state_1768_1948	Mahlog State		Q6734208				South Asia	Princely State		india	
maihar_state_1778_1948	Maihar State		Q999297				South Asia	Princely State		india	
mainland_british_columbia_1858_1866	British Columbia (Colony)	Colony of British Columbia (Mainland)	Q918861	Q16	1858	1866-08-06	North America	Crown Colony			
makrai_state_1663_1948	Makrai State		Q18127719				South Asia	Princely State		india	
makran_1701_1955	Makran		Q2989469				South Asia	Princely State	Turbat	pakistan	
malacca_settlement_1824_1826	Malacca Settlement	Malacca Settlement	Q7621163	Q833	1824	1826-01-01	Southeast Asia	Crown Colony			
malaya_independent_1957_1963	Malaya (Independent)	Malaya (Independent)	Q1479726	Q833	1957	1963-09-16	Southeast Asia	Independence			[QID_REUSED] Q1479726 is Federation of Malaya 1948-1963 (covers both colonial Federation 1948-1957 AND independent Malaya 1957-1963); same QID assigned to federation_of_malaya_1948_1957 (row 231); WD treats both phases as single entity since the polity continued through independence
malayan_union_1946_1948	Malayan Union	Malayan Union	Q976099	Q833	1946	1948-02-01	Southeast Asia	Crown Colony			
malaysia_1963		Malaysia	Q833		1963		Southeast Asia	Independence			
maldives_protectorate_1887_1965	Maldives Protectorate	Maldives Protectorate	Q11344632	Q826	1887	1965-07-26	South Asia	Protectorate			
malerkotla_state_1657_1948	Malerkotla State		Q11934705				South Asia	Princely State	Malerkotla	india	
malia_state	Malia State		Q17618884				South Asia	Princely State		india	
malpur_state_1466_1943	Malpur State		Q17618911				South Asia	Princely State		india	
malta_1800_1964	Malta	Malta	Q6744657	Q233	1800	1964-09-21	Europe	Crown Colony			
manalikkara	Manalikkara		Q16894556				South Asia	Princely State		india	
manda_zamindari_1542_1947	Manda (zamindari)		Q6747689				South Asia	Princely State		india	
mandatory_iraq_1920_1932	Mandatory Iraq	Mandatory Iraq	Q146720	Q796	1920	1932-10-03	Middle East	Mandate			
mandholi	Mandholi		Q11934828				South Asia	Princely State		india	
mandi_state_1290_1948	Mandi State		Q6748050				South Asia	Princely State	Mandi	india	
mandwa_state	Mandwa State		Q11934840				South Asia	Princely State		india	
mangal_state	Mangal State		Q3285692				South Asia	Princely State		india	
manipur_state_1110_1949	Manipur State		Q889030				South Asia	Princely State	Imphal	india	
manra_sydney_island_1860_1979	Manra (Sydney Island)	Manra (Sydney Island)	Q48478	Q710	1860	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
mansa_state	Mansa State		Q17619012				South Asia	Princely State		india	
marwar	Marwar		Q1419618				South Asia	Princely State		india	
maryland_colony_1634_1783	Maryland Colony	Maryland Colony	Q2452027	Q30	1634	1783-09-03	North America	Proprietary Colony			
massachusetts_bay_colony_1630_1783	Massachusetts Bay Colony	Massachusetts Bay Colony	Q1191350	Q30	1630	1783-09-03	North America	Charter Colony			[DATE_RANGE_MISMATCH] Q1191350 is correct entity (English possession 1628-1684) but Wikidata dissolved date is 1684 (with second value 1691) not 1783; in 1691 colony became Province of Massachusetts Bay (separate entity); file row's 1630-1783 conflates colony and province periods
maurha_state_1894_1949	Maurha State		Q104151601				South Asia	Princely State	Maurha	india	
mauritius_1814_1968	Mauritius	Mauritius	Q12053604	Q1027	1814	1968-01-01	Africa (Islands)	Crown Colony			
mayurbhanj_state_1790_1949	Mayurbhanj State		Q18127928				South Asia	Princely State		india	
mckean_island_1860_1979	McKean Island	McKean Island	Q1050899	Q710	1860	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
minorca_first_1708_1756		Minorca (1st British)	Q52636		1708		Europe	Crown Colony			Q52636 is the modern Spanish island Menorca (also assigned to minorca_second and minorca_third); British colonial period 1708-1756 (1st of 3 occupations) not separately represented in WD.
minorca_second_1763_1782		Minorca (2nd British)	Q52636		1763		Europe	Crown Colony			Q52636 is the modern Spanish island Menorca (also assigned to minorca_first and minorca_third); British colonial period 1763-1782 (2nd of 3 occupations) not separately represented in WD.
minorca_third_1798_1802		Minorca (3rd British)	Q52636		1798		Europe	Crown Colony			Q52636 is the modern Spanish island Menorca (also assigned to minorca_first and minorca_second); British colonial period 1798-1802 (3rd of 3 occupations) not separately represented in WD.
miraj_junior_1820_1948	Miraj Junior		Q3315863				South Asia	Princely State		india	
miraj_senior_1820_1948	Miraj Senior		Q932487				South Asia	Princely State		india	
mohanpur_state_1227_1948	Mohanpur State		Q11937172				South Asia	Princely State		india	
mohrampur_jagir_state_1580_1948	Mohrampur Jagir State		Q104152105				South Asia	Princely State		india	
montserrat_1632_ongoing	Montserrat	Montserrat	Q13353	Q13353	1632		Caribbean	Crown Colony			
morvi_state_1698_1948	Morvi State		Q922317				South Asia	Princely State	Morbi	india	
mosquito_coast_1638_1860		Mosquito Coast	Q6037274		1638		Caribbean	Protectorate			Q6037274 (Mosquitia) WD inception 1687 dissolved 1894; file's 1638-1860 reflects different start (early English contact) and end (Kingdom of Mosquitia phase).
mudhol_state_1465_1948	Mudhol State		Q1951726				South Asia	Princely State	Mudhol	india	
muhammadgarh_state_1853_1947	Muhammadgarh State		Q1951905				South Asia	Princely State		india	
muli_state_1470	Muli State		Q11937876				South Asia	Princely State		india	
mundru_state_1621_1818	Mundru State		Q104152106				South Asia	Princely State		india	
mursan_state	Mursan State		Q11938026				South Asia	Princely State		india	
muscat_and_oman_protectorate_1891_1971	Muscat and Oman Protectorate	Muscat and Oman Protectorate	Q157734	Q842	1891	1971-01-01	Middle East	Protectorate			
nabha_state_1763_1947	Nabha State		Q929357				South Asia	Princely State		india	
nagar_state_1400_1974	Nagar State		Q372426				South Asia	Princely State	Nagarkhas	pakistan	
nagod_state_1344_1950	Nagod State		Q1963593				South Asia	Princely State		india	
nahara_state	Nahara State		Q28126531				South Asia	Princely State		india	
naila_state	Naila State		Q11938347				South Asia	Princely State		india	
nalagarh_1100_1948	Nalagarh		Q1682371				South Asia	Princely State		india	
nandgaon_state_1833_1948	Nandgaon State		Q1964552				South Asia	Princely State		india	
narsinghgarh_state_1681_1948	Narsinghgarh State		Q976913				South Asia	Princely State		india	
narsinghpur_state_1292_1948	Narsinghpur State		Q19669126				South Asia	Princely State		india	
narwar_state	Narwar State		Q19669125				South Asia	Princely State		india	
nasvadi	Nasvadi		Q122955960				South Asia	Princely State		india	
natalia_republic_1839_1843	Natalia Republic	Natalia Republic	Q1029847	Q258	1839	1843-08-04	Southern Africa	Boer Republic			
naugaon	Naugaon		Q11938469				South Asia	Princely State		india	
nauru_1920_1968	Nauru	Nauru	Q21816219	Q697	1920	1968-01-01	Pacific	Mandate			[DATE_RANGE_MISMATCH] Q21816219 is the post-WWII UN Trust Territory of Nauru (1947-11-01 to 1968); file row covers 1920-1968 which includes the earlier League of Nations Mandate period (1920-1947); needs separate Mandate-era QID or use a broader umbrella entity
nawalpur	Nawalpur		Q11938484				South Asia	Princely State		india	
nawanagar_state_1540_1948	Nawanagar State		Q1545942				South Asia	Princely State		india	
nayagarh_state_1500_1948	Nayagarh State		Q10797411				South Asia	Princely State		india	
nazargunj_1899_2000	Nazargunj		Q16932578				South Asia	Princely State		india	
new_brunswick_1784_1867	New Brunswick	New Brunswick	Q107499350	Q16	1784	1867-07-01	North America	Crown Colony			
new_brunswick_province_1867		New Brunswick (Province)	Q1965		1867		North America	Province			
new_france_1608_1763	New France	New France	Q170604	Q16	1608	1763-02-10	North America	Colonial Empire			
new_hampshire_colony_1623_1783	New Hampshire Colony	New Hampshire Colony	Q1617382	Q30	1629	1783-09-03	North America	Royal Colony			
new_hebrides_1906_1980	New Hebrides	New Hebrides	Q752431	Q686	1906	1980-07-30	Pacific	Anglo-French Condominium			
new_jersey_colony_1664_1783	New Jersey Colony	New Jersey Colony	Q2335128	Q30	1664	1783-09-03	North America	Royal Colony			
new_south_wales_original_1788_1901	New South Wales (Original)	New South Wales	Q18348382	Q408	1788	1901-01-01	Pacific	Penal Colony			
new_york_colony_1664_1783	New York Colony	New York Colony	Q769668	Q30	1664	1783-09-03	North America	Royal Colony			
new_zealand_colony_1840_1907		New Zealand Colony	Q664		1840		Pacific	Crown Colony			
new_zealand_independent_1947		New Zealand	Q664		1947		Pacific	Independence			
newfoundland_commission_1934_1949		Newfoundland (Commission)	Q38610		1934		North America	Crown Colony			Q38610 Dominion of Newfoundland covers 1907-1949; file row tracks the 1934-1949 Commission of Government sub-period (no separate territorial WD entity for the Commission).
newfoundland_province_1949		Newfoundland and Labrador	Q2003		1949		North America	Province			
niger_coast_protectorate_1893_1900	Niger Coast Protectorate	Niger Coast Protectorate	Q2566427	Q1033	1893	1900-01-01	West Africa	Protectorate			[QID_REUSED] Q2566427 covers full protectorate 1891-1900 (originally named Oil Rivers Protectorate 1891-1893 then renamed Niger Coast Protectorate 1893-1900); same QID assigned to oil_rivers_protectorate_1885_1893 (row 488); WD treats it as one entity with name change
nilgiri_state_1125_1949	Nilgiri State		Q7037080				South Asia	Princely State		india	
nirmali_state	Nirmali State		Q11938840				South Asia	Princely State		india	
norfolk_island_1788_1914	Norfolk Island	Norfolk Island	Q31057	Q31057	1788	1914-07-01	Pacific	Crown Colony			Q31057 is modern Australian external territory; file row covers earlier British colonial penal period 1788-1914 not separately represented in WD.
norfolk_island_whaling_station_1830_1870	Norfolk Island Whaling Station	Norfolk Island Whaling Station	Q31057	Q31057	1830	1870-12-31	Pacific (Guano/Whaling)	Whaling Station			Q31057 is modern Australian external territory (also assigned to norfolk_island_1788_1914); file row covers a whaling sub-period not separately represented in WD.
north_borneo_crown_colony_1946_1963	North Borneo Crown Colony	North Borneo Crown Colony	Q16933920	Q833	1946	1963-09-16	Southeast Asia	Crown Colony			
north_carolina_colony_1663_1783	North Carolina Colony	North Carolina Colony	Q2334526	Q30	1663	1783-09-03	North America	Royal Colony			
north_west_frontier_province_1901_1947	North-West Frontier Province	North-West Frontier Province	Q4412467	Q843	1901	1947-08-15	South Asia	Province			
north_western_territory_1670_1870	North-Western Territory	North-Western Territory	Q1998931	Q16	1670	1870-07-15	North America	Territory			
northern_ireland_1920		Northern Ireland	Q26		1920		Europe	Devolved Government			
northern_nigeria_1900_1914	Northern Nigeria	Northern Nigeria	Q585408	Q1033	1900	1914-01-01	West Africa	Protectorate			
northern_rhodesia_colony_1924_1953	Northern Rhodesia Colony	Northern Rhodesia Colony	Q953903	Q954;Q953	1924	1953-08-01	Southern Africa	Crown Colony			[QID_REUSED_TOO_BROAD] Q953903 covers full Northern Rhodesia 1924-1964 (both pre-federation 1924-1953 AND post-federation 1963-1964 phases); same QID assigned to northern_rhodesia_post_federation_1964 (row 478); WD has only one entity covering all phases
northern_rhodesia_post_federation_1964		Northern Rhodesia	Q953903		1963		Southern Africa	Transitional			[QID_REUSED] Q953903 also assigned to northern_rhodesia_colony_1924_1953 (row 477); WD treats Northern Rhodesia as continuous entity through Federation and after
northern_territories_gold_coast_1897_1957		Northern Territories of the Gold Coast	Q1998749		1897		West Africa				
